Date,Adj Close,Close,High,Low,Open,Volume
2015-01-02,172.07525634765625,205.42999267578125,206.8800048828125,204.17999267578125,206.3800048828125,121465900
2015-01-05,168.96762084960938,201.72000122070312,204.3699951171875,201.35000610351562,204.1699981689453,169632600
2015-01-06,167.37615966796875,199.82000732421875,202.72000122070312,198.86000061035156,202.08999633789062,209151400
2015-01-07,169.46177673339844,202.30999755859375,202.72000122070312,200.8800048828125,201.4199981689453,125346700
2015-01-08,172.4688720703125,205.89999389648438,206.16000366210938,203.99000549316406,204.00999450683594,147217800
2015-01-09,171.0868682861328,204.25,206.4199981689453,203.50999450683594,206.39999389648438,158567300
2015-01-12,169.74655151367188,202.64999389648438,204.60000610351562,201.9199981689453,204.41000366210938,144396100
2015-01-13,169.26914978027344,202.0800018310547,205.47999572753906,200.50999450683594,204.1199951171875,214553300
2015-01-14,168.24725341796875,200.86000061035156,201.10000610351562,198.57000732421875,199.64999389648438,192991100
2015-01-15,166.7060089111328,199.02000427246094,202.00999450683594,198.8800048828125,201.6300048828125,176613900
2015-01-16,168.8922119140625,201.6300048828125,201.82000732421875,198.5500030517578,198.77000427246094,211879600
2015-01-20,169.25238037109375,202.05999755859375,202.72000122070312,200.1699981689453,202.39999389648438,130991100
2015-01-21,170.10678100585938,203.0800018310547,203.66000366210938,200.94000244140625,201.5,122942700
2015-01-22,172.636474609375,206.10000610351562,206.25999450683594,202.3300018310547,203.99000549316406,174356000
2015-01-23,171.68997192382812,204.97000122070312,206.10000610351562,204.80999755859375,205.7899932861328,117516800
2015-01-26,172.0919647216797,205.4499969482422,205.55999755859375,203.85000610351562,204.7100067138672,92009700
2015-01-27,169.82200622558594,202.74000549316406,204.1199951171875,201.74000549316406,202.97000122070312,134044600
2015-01-28,167.64419555664062,200.13999938964844,204.2899932861328,199.91000366210938,204.1699981689453,168514300
2015-01-29,169.19381713867188,201.99000549316406,202.3000030517578,198.67999267578125,200.3800048828125,173585400
2015-01-30,167.06617736816406,199.4499969482422,202.1699981689453,199.1300048828125,200.57000732421875,197729700
2015-02-02,169.13514709472656,201.9199981689453,202.02999877929688,197.86000061035156,200.0500030517578,163107000
2015-02-03,171.5810546875,204.83999633789062,204.85000610351562,202.5500030517578,203.0,124212900
2015-02-04,170.92771911621094,204.05999755859375,205.3800048828125,203.50999450683594,203.9199981689453,134306700
2015-02-05,172.65325927734375,206.1199951171875,206.3000030517578,204.77000427246094,204.86000061035156,97953200
2015-02-06,172.17576599121094,205.5500030517578,207.24000549316406,204.9199981689453,206.55999755859375,125672000
2015-02-09,171.4051513671875,204.6300048828125,205.63999938964844,204.13999938964844,204.77000427246094,87219000
2015-02-10,173.23114013671875,206.80999755859375,207.1199951171875,204.67999267578125,205.8800048828125,96164200
2015-02-11,173.33169555664062,206.92999267578125,207.4499969482422,205.8300018310547,206.61000061035156,91087800
2015-02-12,174.99859619140625,208.9199981689453,208.99000549316406,206.97000122070312,207.88999938964844,97545900
2015-02-13,175.7189483642578,209.77999877929688,209.83999633789062,208.75999450683594,209.07000732421875,93670400
