Date,Adj Close,Close,High,Low,Open,Volume,RSI,Signal,Portfolio
2015-01-05,168.96762084960938,201.72000122070312,204.3699951171875,201.3500061035156,204.1699981689453,169632600,,0,10000.0
2015-01-06,167.37615966796875,199.82000732421875,202.72000122070312,198.8600006103516,202.08999633789065,209151400,,0,10000.0
2015-01-07,169.46177673339844,202.30999755859372,202.72000122070312,200.8800048828125,201.4199981689453,125346700,,0,10000.0
2015-01-08,172.4688720703125,205.8999938964844,206.16000366210935,203.9900054931641,204.00999450683597,147217800,,0,10000.0
2015-01-09,171.0868682861328,204.25,206.4199981689453,203.50999450683597,206.3999938964844,158567300,,0,10000.0
2015-01-12,169.74655151367188,202.6499938964844,204.6000061035156,201.9199981689453,204.41000366210935,144396100,,0,10000.0
2015-01-13,169.26914978027344,202.0800018310547,205.47999572753903,200.50999450683597,204.1199951171875,214553300,,0,10000.0
2015-01-14,168.24725341796875,200.8600006103516,201.1000061035156,198.57000732421875,199.6499938964844,192991100,,0,10000.0
2015-01-15,166.7060089111328,199.0200042724609,202.00999450683597,198.8800048828125,201.6300048828125,176613900,,0,10000.0
2015-01-16,168.8922119140625,201.6300048828125,201.82000732421875,198.5500030517578,198.7700042724609,211879600,,0,10000.0
2015-01-20,169.25238037109375,202.05999755859372,202.72000122070312,200.1699981689453,202.3999938964844,130991100,,0,10000.0
2015-01-21,170.10678100585938,203.0800018310547,203.66000366210935,200.94000244140625,201.5,122942700,,0,10000.0
2015-01-22,172.636474609375,206.1000061035156,206.25999450683597,202.3300018310547,203.9900054931641,174356000,,0,10000.0
2015-01-23,171.68997192382812,204.97000122070312,206.1000061035156,204.80999755859372,205.7899932861328,117516800,54.10362601877222,0,10000.0
2015-01-26,172.0919647216797,205.4499969482422,205.55999755859372,203.8500061035156,204.7100067138672,92009700,55.5199892784054,0,10000.0
2015-01-27,169.82200622558594,202.7400054931641,204.1199951171875,201.7400054931641,202.97000122070312,134044600,46.74722534005261,0,10000.0
2015-01-28,167.64419555664062,200.13999938964844,204.2899932861328,199.91000366210935,204.1699981689453,168514300,40.18647033561216,0,10000.0
2015-01-29,169.19381713867188,201.9900054931641,202.3000030517578,198.67999267578125,200.3800048828125,173585400,45.99446819230364,0,10000.0
2015-01-30,167.06617736816406,199.4499969482422,202.1699981689453,199.1300048828125,200.57000732421875,197729700,40.21983471428154,0,10000.0
2015-02-02,169.13514709472656,201.9199981689453,202.02999877929688,197.8600006103516,200.0500030517578,163107000,47.16639469170096,0,10000.0
2015-02-03,171.5810546875,204.83999633789065,204.8500061035156,202.5500030517578,203.0,124212900,53.97525824536371,0,10000.0
2015-02-04,170.92771911621094,204.05999755859372,205.3800048828125,203.50999450683597,203.9199981689453,134306700,52.045818720455,0,10000.0
2015-02-05,172.65325927734375,206.1199951171875,206.3000030517578,204.7700042724609,204.8600006103516,97953200,56.471532003818986,0,10000.0
